tweet_id,text,sentiment,topic,timestamp,likes,retweets
tw_00001,hard to say #stocks,negative,finance,2024-02-18 19:48:00,14,30
tw_00002,best series ever cc @user_2806,positive,entertainment,2024-02-19 17:37:00,39,9
tw_00003,hard to say #Bollywood,positive,entertainment,2024-02-22 06:09:00,5,1
tw_00004,best app ever via @user_2289,positive,tech,2024-09-29 22:35:00,1,20
tw_00005,worst update ever,negative,tech,2024-09-02 11:19:00,27,12
tw_00006,terrible investment cc @user_2448,negative,finance,2024-03-29 22:19:00,0,35
tw_00007,watching the keynote cc @user_2844,neutral,sports,2024-03-05 06:08:00,53,2
tw_00008,ngl outstanding performance #sports @user_0458,positive,sports,2024-01-22 06:06:00,6,2
tw_00009,tbf could go either way,positive,finance,2024-02-19 03:58:00,10,7
tw_00010,idk solid performance cc @user_0757,positive,tech,2024-10-23 11:22:00,16,3
tw_00011,totally worth it,positive,tech,2024-02-20 18:48:00,28,1
tw_00012,literally worst season ever,negative,sports,2024-04-19 16:54:00,10,4
tw_00013,best series ever,positive,entertainment,2024-04-02 11:24:00,18,15
tw_00014,tbh good governance via @user_0463,positive,politics,2024-03-10 15:48:00,6,7
tw_00015,huge losses,negative,finance,2024-07-16 09:29:00,26,0
tw_00016,data loss nightmare cc @user_1819,negative,tech,2024-08-07 06:54:00,28,1
tw_00017,best series ever #government @user_2762,positive,politics,2024-08-12 16:42:00,2,29
tw_00018,terrible plot #series,negative,entertainment,2024-02-03 11:12:00,101,16
tw_00019,watching the press conference #politics @user_1656,neutral,politics,2024-09-12 08:48:00,10,1
tw_00020,solid performance via @user_2638,positive,tech,2024-07-26 15:32:00,34,5
tw_00021,noted the price #crypto,neutral,finance,2024-01-16 03:47:00,3,6
tw_00022,stopped working cc @user_0734,negative,tech,2024-03-19 09:39:00,1,24
tw_00023,market is booming #crypto,positive,finance,2024-05-30 21:31:00,8,10
tw_00024,actually game changer,positive,tech,2024-08-08 03:24:00,11,7
tw_00025,noticed a change cc @user_0148,neutral,tech,2024-12-27 05:31:00,23,2
tw_00026,what a comeback #sports @user_1997,positive,sports,2024-12-03 17:43:00,104,14
tw_00027,omg impressive release #startup @user_0641,positive,tech,2024-10-29 12:39:00,84,22
tw_00028,wtf totally hooked cc @user_0116,positive,entertainment,2024-10-25 00:48:00,27,25
tw_00029,on my watchlist #Hollywood @user_1754,neutral,entertainment,2024-06-28 01:42:00,2,2
tw_00030,boring throughout,negative,entertainment,2024-06-05 03:21:00,1,3
tw_00031,stadium looks full #NBA @user_1888,neutral,sports,2024-05-16 00:44:00,14,3
tw_00032,disgraceful performance via @user_1548,negative,sports,2024-02-20 15:06:00,52,4
tw_00033,worst season ever cc @user_2060,negative,sports,2024-07-05 13:12:00,9,7
